,customers,revenue_index,support_tickets
2010-01-01,50.59737132240899,30.50776562404764,70.71684558689078
2010-02-01,49.75312728517616,30.570668000013598,70.4959964930222
2010-03-01,51.18786124936233,30.360658315524933,71.53499474631582
2010-04-01,51.886746983930024,31.947428496894663,73.00158741060363
2010-05-01,52.03809339651624,31.6626193571921,72.82094116479765
2010-06-01,52.91442652975422,32.315270623755275,73.24939168991924
2010-07-01,54.38364711250257,33.75883781585132,74.95388032725579
2010-08-01,54.63009269551798,34.02795345748114,76.9653775246245
2010-09-01,54.29523240092054,33.83774603554455,74.67560837889428
2010-10-01,55.53116269337694,34.138065803611696,76.85032252283304
2010-11-01,55.016575703353645,34.272245011559875,77.30373114291667
2010-12-01,55.11109280968301,34.67232896577219,75.36826116661919
2011-01-01,55.57947979760809,34.50390605702243,76.18761876517125
2011-02-01,53.945159810530384,33.71730588868915,74.71244729428996
2011-03-01,53.98078028817465,32.47285530804118,72.72351470344032
2011-04-01,53.70527057747103,32.03470047533181,72.57233109099029
2011-05-01,51.75006706432918,31.67741264601476,71.6998026869928
2011-06-01,52.500300210994325,31.770534713448797,73.90310368822736
2011-07-01,51.72906172916181,31.370432489557874,73.44609477033853
2011-08-01,51.40943713502656,30.346051611484963,72.60168691600929
2011-09-01,52.32561013370912,32.66072680397125,74.02734139518448
2011-10-01,52.41007363192999,32.47943130207237,72.85161450996532
2011-11-01,53.01300877907006,32.3024710484904,73.03956783472738
2011-12-01,52.462941737727974,31.672684732971106,72.47339697177172
2012-01-01,51.42824866207208,31.426502521676884,71.38852309247935
2012-02-01,51.67037218182593,31.60547228343409,72.57517793654013
2012-03-01,50.85138655101967,31.29362237099483,71.47429746839212
2012-04-01,51.20383854366878,31.92684628757539,71.89989966684007
2012-05-01,52.04385547494468,31.277083067420225,72.1447278303043
2012-06-01,52.002580940376546,31.024940024841943,72.1772603587868
2012-07-01,50.883531097104935,30.794190499563744,71.38550773597713
2012-08-01,53.15211586331413,31.417197363515136,74.13422666458791
2012-09-01,54.29552253966394,31.489440140950816,73.3092461988539
2012-10-01,53.67703100195257,32.048733286246765,73.13123381578849
2012-11-01,53.275755641654555,33.44356949339263,74.38613236551494
2012-12-01,52.26106189423327,32.35854714364711,73.00263601681627
2013-01-01,53.360914084796846,32.788387255412594,73.64395816706391
2013-02-01,51.445544467026174,31.578595281350577,71.13665212858011
2013-03-01,50.83015996358983,31.928872884752437,71.06026879116925
2013-04-01,51.50135486633612,31.990738224661577,71.20736819202632
2013-05-01,51.629569416259336,32.04289834765138,71.84084862414538
2013-06-01,52.002831370525584,31.688381063509162,73.06222252803069
2013-07-01,50.54114215019992,31.1988540219466,72.46593256868736
2013-08-01,50.667196686446836,31.597624386626528,71.70429541412892
2013-09-01,50.17045133475447,30.595064119556387,70.1509825343629
2013-10-01,49.5886117971138,29.925626215312487,70.84794286162038
2013-11-01,50.73661952073927,29.917692259934146,69.9730703661204
2013-12-01,51.04095220500425,30.700195530451417,72.7799781138275
2014-01-01,51.566076224264755,32.15816190117696,71.66864568210715
2014-02-01,50.67117426452954,31.334246811190546,71.81067620278077
2014-03-01,51.97502589466838,31.471255058902706,72.10835310067604
2014-04-01,50.935143022986345,31.847881394564116,71.69265827894309
2014-05-01,51.33402814599939,31.230785245031356,70.89948324067291
2014-06-01,51.89115746545909,31.277869523190436,72.13979363146618
2014-07-01,52.34075920045428,32.8332847108005,73.27273114439855
2014-08-01,53.66247062860191,33.58503733452192,75.05259319794943
2014-09-01,53.2855871203917,32.528148010887286,74.15183309132273
2014-10-01,52.89527323956534,32.498535881883974,73.98258916445228
2014-11-01,53.489527077675355,32.625009328405696,74.18729365597295
2014-12-01,54.319951194239664,33.12111458040072,75.4064935700554
2015-01-01,54.29602008393978,33.720234292840225,75.42240537410977
2015-02-01,54.71744453522944,34.53476092297138,74.36775828853764
2015-03-01,54.716290606409196,33.014646822062836,73.31630070863247
2015-04-01,52.95775757988931,32.68693788259965,73.57106165724832
2015-05-01,54.89226203819301,33.08186650195858,74.7128949763032
2015-06-01,54.78538375419329,34.075722125595036,76.09069955086541
2015-07-01,54.992804825058656,34.10545402883488,76.31734585465281
2015-08-01,56.40469979501014,34.80356705418232,77.74053650820873
2015-09-01,56.985787136656185,35.50733983765499,77.88322188948368
2015-10-01,56.272912752159044,35.0307998500013,77.18298581689868
2015-11-01,56.731250722809605,35.78318236136228,78.22604714322111
2015-12-01,58.000773525577905,37.03908600227517,79.42048004541456
2016-01-01,58.02738691290457,37.12925970857151,80.24922948722114
2016-02-01,60.111749795707155,38.068038854900514,80.97404255657207
2016-03-01,58.349249181798214,36.44133984689653,79.9312328654918
2016-04-01,58.76178592630325,37.69546240381784,81.1191826202828
2016-05-01,59.560687160843656,38.08547922191233,81.37637649716825
2016-06-01,59.542889251162556,37.541177656472634,81.73877766705074
2016-07-01,60.0819239537871,37.94884172104643,82.64031737936695
2016-08-01,58.75962783248639,37.11575015455968,80.81096834042027
2016-09-01,58.09523380202154,36.342283956753825,79.06242359791446
2016-10-01,58.302136932476586,37.24318203774418,79.27096613325058
2016-11-01,60.1709173348773,38.17978717381927,81.1728852363004
2016-12-01,60.17971859037799,38.371470989234226,81.40314793154079
2017-01-01,59.55133823643639,37.645205991133096,81.35705569683152
2017-02-01,59.310095807229004,36.88411734977994,80.56535188444411
2017-03-01,60.79868418102662,37.45257972907205,82.01163744379792
2017-04-01,60.66082693422383,38.404375907085814,82.1329485015169
2017-05-01,60.6458382754948,38.57791670227085,81.77698178049565
2017-06-01,61.00709890775428,38.813211772930885,81.99767376980874
2017-07-01,61.12740468329733,39.524524748111745,82.41610702903496
2017-08-01,62.66613594496962,39.67080845406767,83.36303092898412
2017-09-01,62.50610237991574,39.660391011876506,83.0653566540603
2017-10-01,62.558984652172626,39.29809552256669,84.26302870115691
2017-11-01,62.760289908964815,39.270391400409274,83.43367154601836
2017-12-01,61.33623553527708,38.75935985831309,84.14059243676046
2018-01-01,61.83166087265062,38.92467614339368,84.13018750074812
2018-02-01,61.77951269588345,39.359514105235995,84.22183933493147
2018-03-01,62.02422457903172,40.13299078551057,83.68124742013885
2018-04-01,61.833772839604116,39.81019742819929,84.31704403458507
2018-05-01,60.893376536007494,39.416141862932236,82.68111960382316
2018-06-01,61.00108098204353,38.713141726426294,82.7290212711409
2018-07-01,60.36675293703592,39.020419609704504,84.18754864031825
2018-08-01,61.04414124204637,39.19473872098906,82.68268912108664
2018-09-01,60.23743641635363,37.96471301591972,83.12518543718193
2018-10-01,60.12998573234529,38.43419158584811,82.78453664859482
2018-11-01,62.646669374781624,40.44874694537893,84.84877283008265
2018-12-01,63.28774848815928,40.70638732616899,86.34524009261098
2019-01-01,63.79086748014941,41.2656618296584,85.82937687653478
2019-02-01,63.99167080128969,41.10205630180152,87.06031353040206
2019-03-01,62.37257372024679,40.102030712505716,85.22043708339123
2019-04-01,61.93841075528576,40.22446388660803,84.57771010402062
2019-05-01,62.305353269317365,40.95003545289257,85.24954635095816
2019-06-01,64.17071883209995,42.68700311380145,88.20795290344441
2019-07-01,64.85983390641658,42.70545189746933,88.19431733460897
2019-08-01,65.12578553050845,42.77033935883663,87.38099435692641
2019-09-01,64.85362445723406,42.731361286547276,87.5564002139196
2019-10-01,64.10410271020207,42.035992401022256,86.94973208433295
2019-11-01,65.57677201961658,43.278582136999766,88.5007982247495
2019-12-01,66.1050370769077,43.781457061001,89.96529974751208
2020-01-01,66.64464589184593,44.684442750964045,90.89996608325625
2020-02-01,66.47415968592158,45.047851641390125,89.33323717750044
2020-03-01,68.01124906922574,46.09593751458443,91.5757582621676
2020-04-01,66.84272570648514,44.795912368524746,90.8705493969211
2020-05-01,67.3819383088977,45.71748696236117,91.80368229057134
2020-06-01,69.60768308745708,46.90953695486388,94.51101389136387
2020-07-01,68.33921505467188,45.520222672388456,93.79778155664096
2020-08-01,67.70086377094165,45.27428071526948,93.26836350599103
2020-09-01,68.09390677954504,45.15153164899114,93.1961124499704
2020-10-01,68.21161794094232,45.40662358171698,91.83513214218254
2020-11-01,67.62555956555849,44.88387288264678,91.39378526801369
2020-12-01,68.73531769276053,45.94455349577655,91.88936341250765
2021-01-01,68.2895710733202,45.27441189016919,91.223789612822
2021-02-01,68.48210375216998,45.48915604183511,91.03513700461893
2021-03-01,67.78522076641828,45.31470065597004,90.15658442435658
2021-04-01,68.63660555304595,45.462816242012394,93.07068496325894
2021-05-01,68.34887339106785,45.54098404538554,92.37760240233663
2021-06-01,68.23947370977397,45.926472489757934,92.66859309740494
2021-07-01,69.36492580230123,45.96712875939872,93.44172813358485
2021-08-01,68.17004258838776,46.00780942073304,92.40182445082941
2021-09-01,68.97918420850803,46.364213320233546,93.36599301234601
2021-10-01,70.98789881477686,47.13742223657236,94.19057574565976
2021-11-01,69.53896293810388,46.49073747078695,92.98658141925705
2021-12-01,69.92413638679324,47.57965480812626,93.10846811557087
2022-01-01,70.49873857411616,47.487527623885505,93.49647831166212
2022-02-01,70.87853221089404,47.99628516702597,94.52163181639163
2022-03-01,70.13422932265334,46.94568508445859,93.90678409013941
2022-04-01,69.19926859994865,45.87184440000632,92.5916662880765
2022-05-01,69.81220644198334,46.89587164525195,94.2584412580101
2022-06-01,69.81168199309244,46.84280685638233,93.8636129144147
2022-07-01,70.34796893993986,47.341694836534735,94.40075399362193
2022-08-01,71.14340716597314,47.60686656635749,94.8442958034214
2022-09-01,71.46692784204654,47.62689813837112,95.51187804775576
2022-10-01,72.00731868092215,48.05292775560033,95.65675012314489
2022-11-01,73.13148520396238,48.75281672461167,96.5520369657317
2022-12-01,71.71356418598224,47.9833350666928,94.74539156421106
2023-01-01,73.59815396456698,49.29125697286532,97.28375426216762
2023-02-01,73.9479130876066,49.4345054661868,98.55506985099849
2023-03-01,74.06051642537025,48.833728323922216,97.39758480377736
2023-04-01,73.80609638430639,49.798476896958206,98.75626062357715
2023-05-01,72.62284151292914,49.631714670226316,97.30625866726402
2023-06-01,73.21056807317424,49.82828127895335,99.15611839987038
2023-07-01,73.43002832329798,51.24850930948277,101.38380397098314
2023-08-01,73.2281030920818,51.28604962688553,99.5890804610364
2023-09-01,74.23488754961991,51.94706635948012,100.20557577480265
2023-10-01,75.24152564766966,52.901062235884915,101.76183935564946
2023-11-01,76.48070288421604,52.821481563060495,103.23472726680707
2023-12-01,79.19426216718905,53.68866379877171,104.21167328944965
2024-01-01,79.33275311198175,53.18185516540588,103.84411452783925
2024-02-01,78.24698129612852,53.89424804055823,103.2947746668982
2024-03-01,77.16494451396478,53.650173499816546,102.0169400158903
2024-04-01,77.06520806434189,53.07684001083607,101.46368096162658
2024-05-01,76.50919757455668,53.23434091972461,101.57433755614954
2024-06-01,78.14136766749516,53.09410622879772,102.2615190671865
2024-07-01,78.93226009224372,54.6096433662071,103.25488008725891
2024-08-01,79.19142267623029,54.99420935342744,104.64541091937372
2024-09-01,78.41829434209417,54.99116077389421,105.83023815695913
2024-10-01,80.72450714686511,56.3051677450736,106.30925631945146
2024-11-01,80.54460689639278,56.2751000409632,107.02224180244079
2024-12-01,83.49601543794833,58.181914462506825,109.44543987390468
2025-01-01,83.12559125574674,58.31517456122859,110.21352987711806
2025-02-01,82.49481669228584,58.17598769901882,110.03620828379343
2025-03-01,82.0533829441762,58.318843394149525,108.33184644175144
2025-04-01,82.78939747359759,58.952814153293,109.57157700347138
2025-05-01,82.65212617105102,59.13791084985425,109.68210102401054
2025-06-01,83.86468362366654,59.03519595990005,110.8371602495968
2025-07-01,83.86285277686542,58.95652427411069,111.50134629763035
2025-08-01,84.1189575510446,59.1372911383179,112.95906061045878
2025-09-01,83.84148087753928,58.83422140539366,111.0453665942074
2025-10-01,83.14664967953367,58.440886932761316,109.35885025729635
2025-11-01,83.27825368894095,57.425975126158455,108.92600455997322
2025-12-01,83.41853382207292,59.026491466369954,109.93106890954695
2026-01-01,83.1381694365321,59.09113450519841,110.30462150183345
2026-02-01,83.35649028137257,58.18101251353685,110.41576350848699
2026-03-01,83.83130073778011,58.11817640992185,111.38773032112032
2026-04-01,83.88091379673106,58.11779174289832,111.02916993014288
2026-05-01,84.24846259691043,58.461779345993044,109.8763151935701
2026-06-01,84.37848486053616,58.82387670118236,110.82841333384431
2026-07-01,85.04108841750005,58.531929224527026,110.73591935857866
2026-08-01,84.02044477723295,57.671897570473874,110.4344110518936
2026-09-01,85.31952894604595,58.34250467885594,110.98217891137837
2026-10-01,86.30316559424178,59.824416498290766,110.71504857260294
2026-11-01,86.5684595095816,60.424735363740965,113.41453396221199
2026-12-01,87.741080453406,60.6608221284684,115.38310989368911
2027-01-01,86.7535950396736,60.0717175985423,113.14211786691179
2027-02-01,86.51375286009507,59.682059689277686,112.1534863335069
2027-03-01,86.14525427621793,59.27165000064084,113.16073256238921
2027-04-01,86.9934544186505,60.38274432266129,114.03224686376699
2027-05-01,87.93398191014259,61.128180821573125,115.01645704763311
2027-06-01,90.0046787214984,64.40149662933904,119.86598120032268
2027-07-01,90.2222385882308,65.6625312657235,119.7061057994963
2027-08-01,90.63921274273483,66.66717401944383,120.28426668740629
2027-09-01,92.07243981060292,66.95894278977694,120.79070233960879
2027-10-01,93.56904275101192,66.97335773896901,121.7853090374055
2027-11-01,94.37452871706829,68.10166338656225,122.19304084140893
2027-12-01,94.98219377468597,68.36845027577787,124.44641830646066
2028-01-01,95.2214877943655,67.7851573826918,123.07111140832349
2028-02-01,94.12220692186617,67.66501310489916,123.17924721938569
