transaction_id,customer_id,transaction_date,purchase_amount,category,product_description,review_text,review_rating
fd903e95-9ca7-461c-9316-edc304411e05,CUST1032,2025-05-06 14:23:35.372530,42.59,Beauty,This is a premium LED lamp made with metal alloy. It is best suited for home entertainment and known for its compact design.,Dinner return long heart continue huge official. Executive apply them financial. Management article always any certain laugh college billion.,5
da4125e8-f693-4fce-83aa-fa75af02bde0,CUST1024,2025-05-06 14:23:35.372530,43.02,Electronics,This is a durable backpack made with tempered glass. It is best suited for traveling and known for its battery life.,Improve order on fire. Hundred trial bring by western human assume new. New person reflect consider capital.,2
c0a8731e-32c0-4d26-86b2-a4b23ea90753,CUST1027,2025-05-06 14:23:35.372530,55.16,Books,This is a premium backpack made with metal alloy. It is best suited for traveling and known for its compact design.,Case for animal sort we exactly. Establish prove notice top when last live. Music structure deal free.,4
9fecf2f3-b5a0-42dc-a573-186594fce9bf,CUST1025,2025-05-07 14:23:35.372530,44.86,Home,This is a versatile smartwatch made with metal alloy. It is best suited for outdoor activities and known for its build quality.,Little particularly realize might citizen establish such reality. Former girl explain still say simply. Into eat past.,5
59de7306-aabd-4760-b59f-096e7e70af86,CUST1065,2025-05-07 14:23:35.372530,38.6,Electronics,This is a premium smartwatch made with carbon fiber. It is best suited for daily use and known for its build quality.,Least film represent should ability computer. Indeed difficult enough your all economic. Thus paper trial majority government threat real.,1
e793898e-fead-42b9-98ae-ad1d1ccb9cea,CUST1025,2025-05-08 14:23:35.372530,27.46,Electronics,This is a premium coffee machine made with recycled fabric. It is best suited for office setup and known for its build quality.,Let service brother former campaign loss western. First behind best loss carry. Difference stop early also.,4
08555687-5b62-459d-a9c5-5a6bc19c4f4e,CUST1093,2025-05-08 14:23:35.372530,29.76,Beauty,This is a premium coffee machine made with metal alloy. It is best suited for daily use and known for its build quality.,Per company also condition like. Address couple big talk commercial wish type. Try that rate affect television practice force prevent. Congress maintain agent ground.,4
bf6019f3-6d1f-425c-8125-7b0caa80a4cb,CUST1095,2025-05-09 14:23:35.372530,50.5,Electronics,This is a premium LED lamp made with metal alloy. It is best suited for home entertainment and known for its energy efficiency.,Work rest partner customer generation recent skill. While build later bit herself.,4
0b333a01-ff8e-41e2-9914-64ffd26fe798,CUST1073,2025-05-09 14:23:35.372530,55.75,Fashion,This is a versatile smartwatch made with high-grade plastic. It is best suited for daily use and known for its battery life.,Future market hundred. Affect mission all defense minute.,3
7cf58519-5b94-4763-917e-0b2fdc059133,CUST1086,2025-05-09 14:23:35.372530,60.56,Fashion,This is a innovative smartwatch made with tempered glass. It is best suited for traveling and known for its energy efficiency.,Understand himself consumer. Keep personal how.,2
